,p1_name,p1_games_won,p1_aces,p1_double_faults,p1_first_serves_in,p1_first_serve_points_won,p1_second_serve_points_won,p2_name,p2_games_won,p2_aces,p2_double_faults,p2_first_serves_in,p2_first_serve_points_won,p2_second_serve_points_won,p1_sets_won,p2_sets_won,p1_ranking_points,p2_ranking_points,y
0,Arthur Rinderknech,6,3,0.053,0.632,0.667,0.5,Borna Coric,6,3,0.0,0.581,0.944,0.692,0,1,952,1685,1
2,Rafael Nadal,6,0,0.033,0.633,0.737,0.455,Alex De Minaur,3,2,0.074,0.519,0.5,0.538,1,0,6020,1790,1
4,Rafael Nadal,1,1,0.031,0.64,0.596,0.394,Alex De Minaur,6,2,0.0885,0.518,0.5165,0.5905,1,1,6020,1790,1
6,Stefanos Tsitsipas,6,6,0.0,0.69,0.65,0.667,David Goffin,3,0,0.04,0.72,0.667,0.143,1,0,5550,870,0
8,Taylor Fritz,6,5,0.111,0.5,1.0,0.778,Alexander Zverev,1,2,0.15,0.7,0.5,0.333,1,0,3355,2700,0
10,Adrian Mannarino,6,5,0.0,0.676,0.88,0.5,Borna Gojo,6,6,0.0,0.743,0.846,0.778,0,1,946,381,1
82,Adrian Mannarino,6,6,0.019,0.5690000000000001,0.8565,0.5,Borna Gojo,3,8,0.027,0.669,0.7865,0.489,1,1,946,381,1
154,Frances Tiafoe,7,4,0.062,0.531,0.941,0.6,Oscar Otte,5,6,0.0,0.5,0.857,0.714,1,0,2000,691,0
226,Hubert Hurkacz,6,5,0.0,0.5,0.7,0.7,Stan Wawrinka,6,5,0.073,0.463,0.789,0.636,1,0,2905,377,0
298,Matteo Berrettini,6,6,0.0,0.75,0.857,0.571,Casper Ruud,4,1,0.0,0.739,0.765,0.5,1,0,2375,5820,0
370,Alexei Popyrin,6,6,0.061,0.636,0.81,0.5,Felix Auger Aliassime,4,3,0.0,0.69,0.75,0.444,1,0,469,4195,0
372,Jordan Thompson,3,1,0.071,0.5,0.714,0.429,Quentin Halys,6,7,0.042,0.667,0.812,0.875,0,1,626,767,1
374,Mikael Ymer,4,1,0.059,0.471,0.625,0.556,Roman Safiullin,6,2,0.036,0.679,0.842,0.556,0,1,739,606,1
376,Thanasi Kokkinakis,6,6,0.0,0.697,0.913,0.9,Maxime Cressy,6,9,0.083,0.583,0.857,0.733,1,0,592,1163,0
378,Andy Murray,6,2,0.043,0.511,0.708,0.478,Sebastian Korda,6,7,0.026,0.641,0.84,0.429,0,1,920,1175,1
450,Daniil Medvedev,6,5,0.017,0.661,0.718,0.6,Lorenzo Sonego,6,0,0.0,0.592,0.793,0.55,1,0,4065,950,0
522,Novak Djokovic,6,3,0.037,0.63,0.824,0.8,Constant Lestienne,3,1,0.0,0.731,0.632,0.571,1,0,4820,760,0
594,Pedro Cachin,2,0,0.111,0.5,0.667,0.333,Karen Khachanov,6,1,0.042,0.625,0.867,0.556,0,1,813,1990,1
666,Rinky Hijikata,6,0,0.0,0.65,0.846,0.714,Denis Shapovalov,2,1,0.182,0.545,0.583,0.5,1,0,344,2075,1
738,Rinky Hijikata,4,1,0.047,0.6375,0.7729999999999999,0.5235,Denis Shapovalov,6,3,0.14100000000000001,0.556,0.6445,0.481,1,1,344,2075,1
810,Alex Molcan,2,0,0.0,0.636,0.571,0.375,Laslo Djere,6,6,0.0,0.556,0.9,0.875,0,1,895,738,1
812,Chun Hsin Tseng,0,1,0.067,0.667,0.3,0.0,Benjamin Bonzi,6,0,0.0,0.688,0.727,0.8,0,1,490,781,1
814,Marco Cecchinato,6,2,0.0,0.5,0.818,0.727,Nikoloz Basilashvili,2,2,0.037,0.556,0.6,0.5,1,0,562,595,0
