TOURNAMENT INFORMATION,,,,,,,,,,MATCH INFORMATION,,,,,,,,,,,STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET,TOURNAMENT ID,TOURNAMENT NAME,TOURNAMENT YEAR,TOURNAMENT START DATE,GENDER,TOURNAMENT SIZE,SURFACE,GROUND,BEST OF,MATCH ID,MATCH DATE,ROUND,MATCH STATUS,PLAYER NUM,PLAYER ID,PLAYER NAME,PLAYER RANK,MONEYLINE US,SET,SET NUMBER,PLAYER WINNER NUM,RESULT,SERVICE GAMES WON,SERVICE GAMES,% OF SERVICE GAMES WON ,RETURN GAMES WON,RETURN GAMES,% OF RETURN GAMES WON ,TOTAL GAMES WON,TOTAL GAMES,% OF TOTAL GAMES WON ,ACES,ACE %,DOUBLE FAULTS,DOUBLE FAULT %,SERVICE POINTS,SERVICE POINTS WON,% OF SERVICE POINTS WON,RETURN POINTS WON,RETURN POINTS,% OF RETURN POINTS WON,TOTAL POINTS WON,TOTAL POINTS,% OF TOTAL POINTS WON,% OF FIRST SERVICES IN,FIRST SERVICE POINTS WON,FIRST SERVICES IN,% OF FIRST SERVICE POINTS WON,SECOND SERVICE POINTS WON,SECOND SERVICES IN,% OF SECOND SERVICE POINTS WON,BREAK POINTS SAVED,BREAK POINTS ALLOWED,% OF BREAK POINTS SAVED,BREAK POINTS WON,BREAK POINTS CREATED,% OF BREAK POINTS WON,FIRST RETURN POINTS WON,FIRST RETURN POINTS,% OF FIRST RETURN POINTS WON,SECOND RETURN POINTS WON,SECOND RETURN POINTS,% OF SECOND RETURN POINTS WON,MAX GAMES WON IN ROW,MAX POINTS WON IN ROW
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-001,12/29/2022,,Finished,1,200048,Alex De Minaur,24,-162,match,0,2,LOSE,6,9,0.667,0,9,0,6,18,0.333,3,0.055,1,0.018,55,33,0.6,16,56,0.286,49,111,0.441,0.509,19,28,0.679,14,27,0.519,6,9,0.667,0,4,0,4,30,0.133,12,26,0.462,1,7
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-001,12/29/2022,,Finished,2,200247,Cameron Norrie,14,124,match,0,2,WIN,9,9,1,3,9,0.333,12,18,0.667,4,0.071,1,0.018,56,40,0.714,22,55,0.4,62,111,0.559,0.536,26,30,0.867,14,26,0.538,4,4,1,3,9,0.333,9,28,0.321,13,27,0.481,3,8
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-002,12/29/2022,,Finished,1,200467,Arthur Rinderknech,44,-153,match,0,1,WIN,9,9,1,3,9,0.333,12,18,0.667,2,0.031,1,0.016,64,41,0.641,25,57,0.439,66,121,0.545,0.672,30,43,0.698,11,21,0.524,0,0,0,3,7,0.429,15,37,0.405,10,20,0.5,3,5
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-002,12/29/2022,,Finished,2,200379,Francisco Cerundolo,30,118,match,0,1,LOSE,6,9,0.667,0,9,0,6,18,0.333,1,0.018,3,0.053,57,32,0.561,23,64,0.359,55,121,0.455,0.649,22,37,0.595,10,20,0.5,4,7,0.571,0,0,0,13,43,0.302,10,21,0.476,1,5
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-003,12/29/2022,,Finished,1,200434,Lorenzo Musetti,23,-1154,match,0,1,WIN,8,10,0.8,4,9,0.444,12,19,0.632,9,0.164,1,0.018,55,37,0.673,23,50,0.46,60,105,0.571,0.564,22,31,0.71,15,24,0.625,1,3,0.333,4,4,1,14,33,0.424,9,17,0.529,3,8
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-003,12/29/2022,,Finished,2,200432,Felipe Meligeni Alves,166,642,match,0,1,LOSE,5,9,0.556,2,10,0.2,7,19,0.368,1,0.02,2,0.04,50,27,0.54,18,55,0.327,45,105,0.429,0.66,19,33,0.576,8,17,0.471,0,4,0,2,3,0.667,9,31,0.29,9,24,0.375,3,6
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-004,12/29/2022,,Finished,1,200359,Marc-Andrea Huesler,56,-373,match,0,1,WIN,13,14,0.929,3,14,0.214,16,28,0.571,6,0.061,1,0.01,99,64,0.646,34,88,0.386,98,187,0.524,0.677,48,67,0.716,16,32,0.5,6,7,0.857,3,7,0.429,20,61,0.328,14,27,0.519,3,7
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-004,12/29/2022,,Finished,2,200475,Timofey Skatov,142,269,match,0,1,LOSE,11,14,0.786,1,14,0.071,12,28,0.429,4,0.045,2,0.023,88,54,0.614,35,99,0.354,89,187,0.476,0.693,41,61,0.672,13,27,0.481,4,7,0.571,1,7,0.143,19,67,0.284,16,32,0.5,3,5
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-005,12/29/2022,,Finished,1,200185,Stefanos Tsitsipas,4,-349,match,0,1,WIN,14,15,0.933,2,15,0.133,16,30,0.533,12,0.126,1,0.011,95,68,0.716,24,87,0.276,92,182,0.505,0.758,56,72,0.778,12,23,0.522,8,9,0.889,2,8,0.25,11,55,0.2,13,32,0.406,5,6
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-005,12/29/2022,,Finished,2,200024,Grigor Dimitrov,28,250,match,0,1,LOSE,13,15,0.867,1,15,0.067,14,30,0.467,11,0.126,2,0.023,87,63,0.724,27,95,0.284,90,182,0.495,0.632,44,55,0.8,19,32,0.594,6,8,0.75,1,9,0.111,16,72,0.222,11,23,0.478,3,7
