TOURNAMENT INFORMATION,,,,,,,,,,MATCH INFORMATION,,,,,,,,,,,STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET,TOURNAMENT ID,TOURNAMENT NAME,TOURNAMENT YEAR,TOURNAMENT START DATE,GENDER,TOURNAMENT SIZE,SURFACE,GROUND,BEST OF,MATCH ID,MATCH DATE,ROUND,MATCH STATUS,PLAYER NUM,PLAYER ID,PLAYER NAME,PLAYER RANK,MONEYLINE US,SET,SET NUMBER,PLAYER WINNER NUM,RESULT,SERVICE GAMES WON,SERVICE GAMES,% OF SERVICE GAMES WON ,RETURN GAMES WON,RETURN GAMES,% OF RETURN GAMES WON ,TOTAL GAMES WON,TOTAL GAMES,% OF TOTAL GAMES WON ,ACES,ACE %,DOUBLE FAULTS,DOUBLE FAULT %,SERVICE POINTS,SERVICE POINTS WON,% OF SERVICE POINTS WON,RETURN POINTS WON,RETURN POINTS,% OF RETURN POINTS WON,TOTAL POINTS WON,TOTAL POINTS,% OF TOTAL POINTS WON,% OF FIRST SERVICES IN,FIRST SERVICE POINTS WON,FIRST SERVICES IN,% OF FIRST SERVICE POINTS WON,SECOND SERVICE POINTS WON,SECOND SERVICES IN,% OF SECOND SERVICE POINTS WON,BREAK POINTS SAVED,BREAK POINTS ALLOWED,% OF BREAK POINTS SAVED,BREAK POINTS WON,BREAK POINTS CREATED,% OF BREAK POINTS WON,FIRST RETURN POINTS WON,FIRST RETURN POINTS,% OF FIRST RETURN POINTS WON,SECOND RETURN POINTS WON,SECOND RETURN POINTS,% OF SECOND RETURN POINTS WON,MAX GAMES WON IN ROW,MAX POINTS WON IN ROW
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-001,12/29/2022,,Finished,1,200048,Alex De Minaur,24,,set 1,1,2,LOSE,3,4,0.750,0,5,0.000,3,9,0.333,2,0.105,0,0.000,19,14,0.737,6,27,0.222,20,46,0.435,0.632,9,12,0.750,5,7,0.714,2,3,0.667,0,3,0.000,1,14,0.071,5,13,0.385,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-001,12/29/2022,,Finished,2,200247,Cameron Norrie,14,,set 1,1,2,WIN,5,5,1.000,1,4,0.250,6,9,0.667,0,0.000,1,0.037,27,21,0.778,5,19,0.263,26,46,0.565,0.519,13,14,0.929,8,13,0.615,3,3,1.000,1,3,0.333,3,12,0.250,2,7,0.286,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-001,12/29/2022,,Finished,1,200048,Alex De Minaur,24,,set 2,2,2,LOSE,3,5,0.600,0,4,0.000,3,9,0.333,1,0.028,1,0.028,36,19,0.528,10,29,0.345,29,65,0.446,0.444,10,16,0.625,9,20,0.450,4,6,0.667,0,1,0.000,3,16,0.188,7,13,0.538,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-001,12/29/2022,,Finished,2,200247,Cameron Norrie,14,,set 2,2,2,WIN,4,4,1.000,2,5,0.400,6,9,0.667,4,0.138,0,0.000,29,19,0.655,17,36,0.472,36,65,0.554,0.552,13,16,0.812,6,13,0.462,1,1,1.000,2,6,0.333,6,16,0.375,11,20,0.550,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-002,12/29/2022,,Finished,1,200467,Arthur Rinderknech,44,,set 1,1,1,WIN,5,5,1.000,1,5,0.200,6,10,0.600,1,0.026,1,0.026,38,24,0.632,12,31,0.387,36,69,0.522,0.605,17,23,0.739,7,15,0.467,0,0,0.000,1,4,0.250,8,22,0.364,4,9,0.444,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-002,12/29/2022,,Finished,2,200379,Francisco Cerundolo,30,,set 1,1,1,LOSE,4,5,0.800,0,5,0.000,4,10,0.400,1,0.032,1,0.032,31,19,0.613,14,38,0.368,33,69,0.478,0.710,14,22,0.636,5,9,0.556,3,4,0.750,0,0,0.000,6,23,0.261,8,15,0.533,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-002,12/29/2022,,Finished,1,200467,Arthur Rinderknech,44,,set 2,2,1,WIN,4,4,1.000,2,4,0.500,6,8,0.750,1,0.038,0,0.000,26,17,0.654,13,26,0.500,30,52,0.577,0.769,13,20,0.650,4,6,0.667,0,0,0.000,2,3,0.667,7,15,0.467,6,11,0.545,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-002,12/29/2022,,Finished,2,200379,Francisco Cerundolo,30,,set 2,2,1,LOSE,2,4,0.500,0,4,0.000,2,8,0.250,0,0.000,2,0.077,26,13,0.500,9,26,0.346,22,52,0.423,0.577,8,15,0.533,5,11,0.455,1,3,0.333,0,0,0.000,7,20,0.350,2,6,0.333,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-003,12/29/2022,,Finished,1,200434,Lorenzo Musetti,23,,set 1,1,1,WIN,4,5,0.800,2,4,0.500,6,9,0.667,5,0.217,0,0.000,23,18,0.783,9,18,0.500,27,41,0.659,0.652,10,15,0.667,8,8,1.000,0,1,0.000,2,2,1.000,7,13,0.538,2,5,0.400,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-003,12/29/2022,,Finished,2,200432,Felipe Meligeni Alves,166,,set 1,1,1,LOSE,2,4,0.500,1,5,0.200,3,9,0.333,0,0.000,0,0.000,18,9,0.500,5,23,0.217,14,41,0.341,0.722,6,13,0.462,3,5,0.600,0,2,0.000,1,1,1.000,5,15,0.333,0,8,0.000,,
